Name;Length;WingSpan;WingArea;EmptyMass;MaxFuelMass;CritAirSpd;CritAirSpdMach;CritGearSpd;CombatFlaps;TakeoffFlaps;CritFlapsSpd;CritWingOverload;NumEngines;RPM;MaxNitro;NitroConsum;CritAoA
a-10a_early;10.8;17.5;46.8;11520.0;4853.0;874.0;0.8;370.4;0;24.0;0.33,740.0,1.0,370.4;-220000.0,750000.0;1;11400.0,17900.0,18500.0;0.0;0;21.5,-16.0,23.5,-15.0
a-10a_late;10.8;17.5;46.8;11520.0;4853.0;874.0;0.8;370.4;0;24.0;0.33,740.0,1.0,370.4;-220000.0,750000.0;1;11400.0,17900.0,18500.0;0.0;0;21.5,-16.0,23.5,-15.0
a-10c;10.8;17.5;46.8;11590.0;10111.0;874.0;0.8;370.4;0;24.0;0.33,740.0,1.0,370.4;-220000.0,750000.0;1;11400.0,17900.0,18500.0;0.0;0;21.5,-16.0,23.5,-15.0
a-20g;14.63;18.693;43.1813;7742.0;1090.0;696.0;0.703;296.0;20.0;33.0;0.1,445.0,1.0,296.0;-131700.0,263400.0;2;600.0,2401.0,2760.0;0.0;0;16.0,-15.5,14.5,-13.0
a-26b;15.469;21.336;50.214;10332.0;2522.0;718.0;0.71;270.0;20.0;33.0;0.1,527.0,1.0,351.0;-322000.0,445000.0;2;550.0,2701.0,3400.0;162.8;0;15.5,-15.0,12.5,-12.0
a-26b_10;15.469;21.336;50.214;10192.0;2522.0;718.0;0.71;270.0;20.0;33.0;0.1,527.0,1.0,351.0;-322000.0,445000.0;2;550.0,2701.0,3400.0;0.0;0;15.5,-15.0,12.5,-12.0
a-26c;15.621;21.336;50.214;10340.0;2182.1;718.0;0.71;270.0;20.0;33.0;0.1,527.0,1.0,351.0;-322000.0,445000.0;2;550.0,2701.0,3400.0;162.8;0;15.5,-15.0,12.5,-12.0
a2d;12.5984;;;7148.0;1061.406;;;301.0;20.0;33.0;0.0,600.0,0.21,420.0,0.33,351.0,1.0,301.0;;;;0.0;0;
a5m4;7.565;11.0;17.8;1354.0;172.8;558.0;0.7;558.0;20.0;33.0;0.1,420.0,1.0,220.0;-38000.0,102000.0;1;300.0,2600.0,3000.0;0.0;0;17.2,-17.0,14.1,-20.0
a6m2_mod11;9.05;11.8;22.438;1821.0;385.2;660.0;0.83;310.0;20.0;33.0;0.1,510.0,1.0,280.0;-84523.2,149473.0;1;100.0,2550.0,2650.0;0.0;0;17.0,-14.5,16.5,-13.0
a6m2_n_zero;9.05;11.8;22.14;1823.0;464.2;650.0;0.83;550.0;20.0;33.0;0.1,520.4,1.0,320.4;-127138.0,151757.0;1;100.0,2550.0,2650.0;0.0;0;17.0,-14.5,16.5,-13.0
a6m2_zero;9.05;11.8;22.438;1864.0;385.2;660.0;0.83;310.0;20.0;33.0;0.1,510.0,1.0,280.0;-84523.2,149473.0;1;100.0,2550.0,2650.0;0.0;0;17.0,-14.5,16.5,-13.0
a6m3_mod22_zero;9.05;12.0;22.438;2086.0;417.6;660.0;0.79;240.0;20.0;33.0;0.1,420.0,1.0,220.0;-79507.4,175027.0;1;500.0,2750.0,3000.0;0.0;0;17.0,-14.5,16.5,-13.0
a6m3_zero;9.05;11.0;21.838;1990.0;592.7;703.0;0.83;290.0;20.0;33.0;0.1,420.0,1.0,220.0;-79507.4,175027.0;1;500.0,2750.0,3000.0;0.0;0;17.0,-14.5,16.5,-13.0
a6m5_hei;9.05;11.0;21.3;2478.0;475.2;777.0;0.83;300.0;20.0;33.0;0.1,420.0,1.0,220.0;-153260.0,204347.0;1;500.0,2750.0,3000.0;0.0;0;17.0,-14.5,16.5,-13.0
